min_delta,max_lvn_ratio,min_impulse_size,min_impulse_score,take_profit,trailing_stop,stop_buffer,breakout_threshold,max_hunting_bars,total_trades,wins,losses,breakevens,win_rate,profit_factor,sharpe_ratio,avg_win,avg_loss,total_pnl,max_drawdown,rr_ratio,expectancy
15,0.25,20,4,35,6,3,2,600,39,11,28,0,28.21,0.59,-3.49,4.05,-2.71,-31.25,853.00,1.50,-0.80
15,0.25,20,4,35,6,3,2,900,39,11,28,0,28.21,0.59,-3.49,4.05,-2.71,-31.25,853.00,1.50,-0.80
15,0.25,20,4,35,7,2,2,600,39,8,30,1,20.51,0.53,-4.03,4.16,-2.11,-30.00,828.00,1.97,-0.77
15,0.25,20,4,35,7,2,2,900,39,8,30,1,20.51,0.53,-4.03,4.16,-2.11,-30.00,828.00,1.97,-0.77
15,0.25,20,4,35,7,3,2,600,39,8,31,0,20.51,0.42,-6.01,4.38,-2.72,-49.25,1193.00,1.61,-1.26
15,0.25,20,4,35,7,3,2,900,39,8,31,0,20.51,0.42,-6.01,4.38,-2.72,-49.25,1193.00,1.61,-1.26
15,0.25,20,4,35,8,2,2,600,39,7,31,1,17.95,0.43,-5.52,4.25,-2.25,-40.00,1008.00,1.89,-1.03
15,0.25,20,4,35,8,2,2,900,39,7,31,1,17.95,0.43,-5.52,4.25,-2.25,-40.00,1008.00,1.89,-1.03
15,0.25,20,4,35,8,3,2,600,39,7,32,0,17.95,0.35,-7.49,4.93,-3.05,-63.00,1448.00,1.62,-1.62
15,0.25,20,4,35,8,3,2,900,39,7,32,0,17.95,0.35,-7.49,4.93,-3.05,-63.00,1448.00,1.62,-1.62
20,0.25,20,4,25,5,2,2,600,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,25,5,2,2,900,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,25,5,3,2,600,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
20,0.25,20,4,25,5,3,2,900,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
20,0.25,20,4,25,6,2,2,600,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,25,6,2,2,900,26,9,17,0,34.62,1.50,2.57,6.61,-2.34,19.75,402.00,2.83,0.76
20,0.25,20,4,25,6,3,2,600,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,25,6,3,2,900,26,10,16,0,38.46,1.21,1.29,6.25,-3.23,10.75,402.00,1.93,0.41
20,0.25,20,4,25,7,2,2,600,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,25,7,2,2,900,26,9,17,0,34.62,1.19,1.13,5.61,-2.50,8.00,422.00,2.24,0.31
20,0.25,20,4,25,7,3,2,600,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,25,7,3,2,900,26,10,16,0,38.46,0.95,-0.39,5.25,-3.47,-3.00,442.00,1.51,-0.12
20,0.25,20,4,25,8,2,2,600,26,8,18,0,30.77,1.43,1.90,7.75,-2.40,18.75,442.00,3.23,0.72
20,0.25,20,4,25,8,2,2,900,26,8,18,0,30.77,1.43,1.90,7.75,-2.40,18.75,442.00,3.23,0.72
20,0.25,20,4,25,8,3,2,600,26,9,17,0,34.62,1.19,1.03,7.44,-3.31,10.75,402.00,2.25,0.41
20,0.25,20,4,25,8,3,2,900,26,9,17,0,34.62,1.19,1.03,7.44,-3.31,10.75,402.00,2.25,0.41
20,0.25,20,4,30,5,2,2,600,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,30,5,2,2,900,26,10,16,0,38.46,1.63,3.02,5.75,-2.20,22.25,382.00,2.61,0.86
20,0.25,20,4,30,5,3,2,600,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
20,0.25,20,4,30,5,3,2,900,26,11,15,0,42.31,1.33,1.90,5.59,-3.08,15.25,362.00,1.81,0.59
